id,value
762,0.55 кг
763,1 x RS-232 (COM)
764,ASUS PRIME H610M-D
765,"поддержка Intel XMP, технология SafeSlot"
766,"Cezanne, Matisse, Renoir, Vermeer"
767,"3466 МГц, 3600 МГц, 3733 МГц, 3866 МГц, 4000 МГц, 4133 МГц, 4266 МГц, 4400 МГц, 4600 МГц"
768,Realtek ALC892
769,MSI B550M-A PRO
770,AMD B550
771,195 мм
772,ASUS PRIME H610M-R-SI
773,28.5 см
774,ASRock B550M-HDV
775,0.93 кг
776,"поддержка A-XMP, поддержка TPM 2.0"
777,33 см
778,"1 x PCIe 2.0 (в режиме x4), 1 x PCIe 3.0 (в режиме x16)"
779,"2800 МГц, 3000 МГц, 3200 МГц, 3466 МГц, 4400 МГц"
780,Realtek ALC887-VD2
781,"2 x USB 2.0, 2 x USB 3.2 Gen 1, 2 x USB 3.2 Gen 2"
782,ASUS PRIME B450-PLUS
783,1.16 кг
784,2018
785,ASUS PRIME H610M-E-CSM
786,"1 x 2242/2260/2280 (PCIe 3.0 x2), 1 x 2242/2260/2280 (PCIe 3.0 x4)"
787,ASUS PRIME H610M-K
788,30 см
789,1 x 2242/2260/2280 (PCIe 4.0 x4)
790,"1 x USB 3.2 Gen 1, 4 x USB 2.0"
791,MSI PRO B760M-P DDR4
792,0.85 кг
793,2.5 Гбит/с
794,Realtek RTL8125
795,"Cezanne, Matisse, Picasso, Pinnacle Ridge, Raven Ridge, Renoir, Summit Ridge, Vermeer"
796,"2800 МГц, 2933 МГц, 3000 МГц, 3066 МГц, 3200 МГц, 3466 МГц, 3733 МГц, 3866 МГц, 4000 МГц, 4133 МГц"
797,MSI B450M-A PRO MAX II
798,2667 МГц
799,поддержка A-XMP
800,ASRock B450M Pro4 R2.0
801,1 x 2230/2242/2260/2280 (SATA)
802,1.1 кг
803,"дроссели Premium 42A Power Choke, поддержка TPM 2.0"
804,Raphael
805,"5200 МГц, 5400 МГц, 5600 МГц, 5800 МГц, 6000 МГц, 6200 МГц, 6400 МГц, 6600 МГц, 6800 МГц"
806,MSI PRO A620M-E
807,4800 МГц
808,AMD A620
809,"поддержка AMD EXPO, поддержка TPM 2.0"
810,"1 x PCIe 3.0 (в режиме x2), 1 x PCIe 3.0 (в режиме x16)"
811,"1 x M.2 слот, зона VRM, чипсет"
812,1 x 2280 (SATA/PCIe 3.0 x4)
813,Realtek ALC1200
814,"2 x USB 2.0, 5 x USB 3.2 Gen 1"
815,ASRock A520M Pro4
816,1 x 2280 (SATA/PCIe 3.0 x2)
817,"2 x USB 2.0 (9 pin), 2 x USB 3.2 Gen 1 (19 pin)"
818,1.15 кг
819,"плата несовместима с AMD Ryzen 5 3400G и Ryzen 3 3200G, поддержка Intel XMP"
820,29 см
821,"3333 МГц, 3466 МГц, 3600 МГц, 3733 МГц, 4000 МГц, 4266 МГц, 4400 МГц, 4600 МГц, 4800 МГц, 5000 МГц, 5333 МГц"
822,ASUS PRIME B660M-K D4
823,Intel B660
824,"3333 МГц, 3400 МГц, 3466 МГц, 3600 МГц, 3733 МГц, 4000 МГц, 4266 МГц, 4400 МГц, 4600 МГц, 4800 МГц, 5000 МГц, 5066 МГц, 5333 МГцещё"
825,"4 x USB 2.0, 4 x USB 3.2 Gen 1"
826,ASUS PRIME B760M-R D4
827,ASRock H610M-HDV/M.2+ D5
828,ASRock Phantom Gaming
829,"1 x PCIe 3.0 (в режиме x4), 1 x PCIe 4.0 (в режиме x16)"
830,1 x 2280 (PCIe 4.0 x4)
831,ASRock B550M Phantom Gaming 4
832,"1 x DisplayPort, 1 x HDMI"
833,1.08 кг
834,"5400 МГц, 5600 МГц, 5800 МГц, 6000 МГц, 6200 МГц, 6400 МГц, 6600 МГц, 6800 МГц, 7000 МГц, 7200 МГц"
835,ASUS PRIME A620M-K
836,5200 МГц
837,8 pin + 4 pin
838,1 x 2260/2280/22110 (PCIe 4.0 x4)
839,Realtek ALC1220/ALC1200
840,6 x USB 3.2 Gen 1
841,ASRock B550 Phantom Gaming 4
842,1 x 2242/2260/2280 (SATA/PCIe 3.0 x2)
843,ASUS PRIME B760M-K D4
844,MSI PRO H610M-G WIFI DDR4
845,"2 x кабель SATA, антенна Wi-Fi, диск с ПО, документация, задняя планка, крепеж для разъема M.2"
846,5 (802.11ac)
847,Intel AC 3168
848,4.2
849,"2 x USB 3.2 Gen 2, 4 x USB 2.0"
850,ASUS PRIME H610M-D D4
851,Realtek RTL8125B
852,"3333 МГц, 3400 МГц, 3466 МГц, 3600 МГц, 3733 МГц, 3800 МГц, 4200 МГц, 4266 МГц, 4400 МГц, 4600 МГц, 4800 МГц"
853,MSI B760M BOMBER DDR4
854,"документация, задняя планка"
855,"3333 МГц, 3466 МГц, 3600 МГц, 3733 МГц, 3866 МГц, 4000 МГц, 4266 МГц, 4400 МГц, 4466 МГц, 4600 МГц, 4800 МГц"
856,1 x 2242/2260/2280/22110 (SATA/PCIe 4.0 x4)
857,ASUS PRIME B550M-K
858,кнопка Flash BIOS
859,Realtek RTL8111HN
